date,open,close,high,low,volume
2021-11-29,2998.45,3014.7,3024.46,2990.33,512595
2021-11-30,3019.58,3003.33,3042.33,2988.7,733616
2021-12-01,3001.7,3035.83,3056.96,2991.95,706925
2021-12-02,3032.58,3027.71,3063.46,2991.95,994798
2021-12-03,3035.83,3037.46,3045.58,2998.45,707600
2021-12-06,3069.96,3110.6,3185.36,3061.84,2145625
2021-12-07,3143.1,3169.11,3203.24,3118.72,1616444
2021-12-08,3167.48,3170.73,3183.73,3120.35,980281
2021-12-09,3173.98,3208.11,3266.62,3154.48,1455887
2021-12-10,3177.23,3156.1,3208.11,3138.23,989255
2021-12-13,3170.73,3138.23,3237.37,3123.6,1314490
2021-12-14,3120.35,3026.08,3121.97,3016.33,1937209
2021-12-15,3014.7,3021.21,3039.08,2996.83,1294627
2021-12-16,3021.21,3048.84,3050.46,3006.58,819480
2021-12-17,3045.58,3024.46,3053.71,3024.46,602370
2021-12-20,3022.83,3016.33,3037.46,3004.95,746435
2021-12-21,3011.45,3027.71,3047.21,3009.83,893734
2021-12-22,3032.58,2995.2,3035.83,2980.57,976928
2021-12-23,2996.83,2983.82,3001.7,2965.95,1059576
2021-12-24,2985.45,2982.2,2988.7,2965.95,488251
2021-12-27,2985.45,2967.57,2988.7,2957.82,731119
2021-12-28,2967.57,2959.45,2985.45,2946.44,1126639
2021-12-29,2957.82,2891.18,2957.82,2883.06,1469374
2021-12-30,2892.81,2902.56,2923.69,2886.31,796664
2021-12-31,2909.06,2847.3,2915.56,2834.3,1750761
2022-01-04,2847.3,2876.56,2876.56,2798.54,1169259
2022-01-05,2863.55,2956.19,2967.57,2858.68,1961998
2022-01-06,2949.69,2951.32,2975.7,2931.82,1107885
2022-01-07,2948.07,2964.32,2977.32,2941.57,1126631
2022-01-10,2978.95,2962.7,3000.08,2936.69,909774
2022-01-11,2974.07,2998.45,3019.58,2954.57,1581999
2022-01-12,2998.45,2931.82,3004.95,2915.56,1502164
2022-01-13,2917.19,2928.57,2970.82,2902.56,909423
2022-01-14,2931.82,2822.92,2935.07,2818.05,2103095
2022-01-17,2826.17,2805.04,2847.3,2788.79,1143689
2022-01-18,2809.92,2853.8,2857.05,2795.29,1152974
2022-01-19,2857.05,2850.55,2881.43,2827.8,988392
2022-01-20,2845.68,2985.45,3006.58,2837.55,3031194
2022-01-21,3004.95,2988.7,3022.83,2965.95,1481683
2022-01-24,2987.07,2964.32,2993.58,2928.57,874771
2022-01-25,2944.82,2907.44,2944.82,2900.94,1093284
2022-01-26,2923.69,2874.93,2948.07,2857.05,984975
2022-01-27,2850.55,2818.05,2857.05,2809.92,1024643
2022-01-28,2832.67,2741.66,2842.43,2740.03,1675564
2022-02-07,2772.54,2832.67,2835.92,2751.41,1515476
2022-02-08,2818.05,2904.19,2926.94,2811.55,1754695
2022-02-09,2918.81,2909.06,2931.82,2884.68,1051162
2022-02-10,2894.43,2930.19,2936.69,2878.18,784557
2022-02-11,2936.69,2948.07,2987.07,2936.69,1078139
2022-02-14,2948.07,2863.55,2956.19,2852.18,1150659
2022-02-15,2850.55,2814.8,2878.18,2785.54,1208264
2022-02-16,2826.17,2835.92,2855.43,2803.42,782400
2022-02-17,2832.67,2837.55,2858.68,2821.3,794502
2022-02-18,2821.3,2894.43,2894.43,2819.67,802499
2022-02-21,2876.56,2852.18,2878.18,2821.3,800995
2022-02-22,2819.67,2806.67,2840.8,2795.29,894957
2022-02-23,2818.05,2800.17,2819.67,2775.79,886742
2022-02-24,2790.42,2754.66,2793.67,2736.78,1324087
2022-02-25,2767.66,2753.04,2782.29,2748.16,726397
2022-02-28,2753.04,2728.66,2756.29,2707.53,723990
2022-03-01,2735.16,2756.29,2761.16,2707.53,935040
2022-03-02,2735.16,2717.28,2748.16,2714.03,760761
2022-03-03,2725.41,2722.16,2738.41,2709.15,578285
2022-03-04,2707.53,2660.39,2709.15,2652.27,990936
2022-03-07,2634.39,2561.25,2634.39,2551.5,1113159
2022-03-08,2545.0,2494.62,2584.01,2484.86,1003033
2022-03-09,2509.24,2418.23,2517.37,2317.46,1800760
2022-03-10,2473.49,2536.87,2566.13,2458.86,2249158
2022-03-11,2509.24,2590.51,2603.51,2468.61,1493647
2022-03-14,2546.63,2523.87,2595.38,2517.37,1118407
2022-03-15,2509.24,2392.22,2509.24,2379.22,1781409
2022-03-16,2421.48,2494.62,2509.24,2364.59,1531779
2022-03-17,2551.5,2517.37,2559.63,2483.24,1730061
2022-03-18,2502.74,2558.0,2582.38,2466.99,1528807
2022-03-21,2525.5,2540.12,2577.51,2507.62,1208868
2022-03-22,2540.12,2636.02,2642.52,2525.5,1628657
2022-03-23,2624.64,2606.76,2637.64,2590.51,1050102
2022-03-24,2593.76,2639.27,2657.14,2575.88,1002360
2022-03-25,2631.14,2603.51,2647.39,2577.51,742933
2022-03-28,2574.26,2582.38,2614.89,2546.63,727137
2022-03-29,2587.26,2554.75,2598.63,2541.75,615643
2022-03-30,2584.01,2640.89,2650.64,2567.75,1236792
2022-03-31,2623.01,2668.52,2699.4,2616.51,1163747
2022-04-01,2666.9,2728.66,2735.16,2639.27,1484879
2022-04-06,2710.78,2832.67,2857.05,2709.15,2488540
2022-04-07,2831.05,2814.8,2876.56,2801.79,1659065
2022-04-08,2811.55,2834.3,2842.43,2790.42,1066779
2022-04-11,2826.17,2777.41,2834.3,2736.78,1416735
2022-04-12,2777.41,2756.29,2811.55,2714.03,1039261
2022-04-13,2751.41,2736.78,2782.29,2723.78,890628
2022-04-14,2769.29,2775.79,2809.92,2756.29,929615
2022-04-15,2753.04,2837.55,2855.43,2746.53,1231761
2022-04-18,2793.67,2753.04,2801.79,2738.41,1086888
2022-04-19,2753.04,2738.41,2764.41,2707.53,821772
2022-04-20,2738.41,2744.91,2777.41,2720.53,716555
2022-04-21,2731.91,2738.41,2766.04,2720.53,709891
2022-04-22,2710.78,2779.04,2800.17,2671.77,921274
2022-04-25,2715.65,2582.38,2754.66,2571.0,1664481
2022-04-26,2587.26,2562.88,2603.51,2517.37,988210
2022-04-27,2603.51,2712.4,2712.4,2600.26,1490295
2022-04-28,2699.4,2712.4,2757.91,2666.9,911772
2022-04-29,2718.9,2658.77,2727.03,2601.88,1645013
2022-05-05,2639.27,2658.77,2679.9,2631.14,790196
2022-05-06,2610.01,2600.26,2639.27,2592.13,832432
2022-05-09,2597.01,2533.62,2597.01,2519.0,818621
2022-05-10,2525.5,2540.12,2541.75,2462.11,992285
2022-05-11,2532.0,2546.63,2580.76,2515.75,848574
2022-05-12,2522.25,2505.99,2535.25,2497.87,685064
2022-05-13,2525.5,2543.37,2551.5,2523.87,676312
2022-05-16,2551.5,2510.87,2562.88,2501.12,668228
2022-05-17,2527.12,2559.63,2561.25,2496.24,931406
2022-05-18,2582.38,2566.13,2588.88,2553.13,778578
2022-05-19,2533.62,2545.0,2558.0,2525.5,590922
2022-05-20,2558.0,2610.01,2613.26,2553.13,948598
2022-05-23,2618.14,2579.13,2618.14,2567.75,647726
2022-05-24,2585.63,2509.24,2585.63,2509.24,933557
2022-05-25,2514.12,2507.62,2523.87,2492.99,603228
2022-05-26,2510.87,2475.11,2514.12,2455.61,1011318
2022-05-27,2491.37,2473.49,2501.12,2462.11,723067
2022-05-30,2486.49,2457.24,2489.74,2450.73,896901
2022-05-31,2455.61,2470.24,2473.49,2444.23,938869
2022-06-01,2466.99,2457.24,2466.99,2444.23,845299
2022-06-02,2447.48,2436.11,2449.11,2424.73,979268
2022-06-06,2429.61,2471.86,2471.86,2385.72,1710852
2022-06-07,2447.48,2470.24,2484.86,2442.61,1315113
2022-06-08,2470.24,2470.24,2471.86,2445.86,1145521
2022-06-09,2466.99,2501.12,2519.0,2460.49,1632901
2022-06-10,2486.49,2496.24,2497.87,2465.36,1346012
2022-06-13,2473.49,2429.61,2475.11,2424.73,1547753
2022-06-14,2397.1,2463.74,2465.36,2397.1,1151429
2022-06-15,2460.49,2564.5,2624.64,2453.98,3413544
2022-06-16,2564.5,2515.75,2579.13,2512.49,1332546
2022-06-17,2496.24,2517.37,2530.37,2476.74,1053788
2022-06-20,2515.75,2499.49,2515.75,2486.49,1032167
2022-06-21,2499.49,2504.37,2546.63,2481.61,1321794
2022-06-22,2502.74,2457.24,2502.74,2457.24,1056046
2022-06-23,2458.86,2476.74,2481.61,2453.98,806028
2022-06-24,2476.74,2481.61,2484.86,2462.11,866041
2022-06-27,2483.24,2523.87,2535.25,2479.99,1497278
2022-06-28,2520.62,2546.63,2553.13,2510.87,1125110
2022-06-29,2549.88,2548.25,2590.51,2533.62,1266547
2022-06-30,2546.63,2603.51,2610.01,2533.62,1548745
2022-07-01,2606.76,2593.76,2618.14,2580.76,779243
2022-07-04,2598.63,2597.01,2603.51,2566.13,834968
2022-07-05,2605.14,2592.13,2650.64,2577.51,1115172
2022-07-06,2579.13,2530.37,2595.38,2519.0,1043335
2022-07-07,2532.0,2512.49,2549.88,2505.99,730161
2022-07-08,2525.5,2532.0,2549.88,2504.37,639698
2022-07-11,2525.5,2519.0,2536.87,2502.74,611692
2022-07-12,2510.87,2512.49,2562.88,2505.99,742882
2022-07-13,2512.49,2439.36,2520.62,2426.36,2175996
